"date","close","volume","open","high","low"
"2018/11/14","142.7600","1359374.0000","140.9400","144.5000","139.6100"
"2018/11/13","138.7800","1403438.0000","136.5000","140.5400","134.1700"
"2018/11/12","135.5400","1686932.0000","139.2900","139.3100","130.9000"
"2018/11/09","140.9000","1726640.0000","147.2900","147.2900","138.6000"
"2018/11/08","149.5400","1299890.0000","148.2100","150.8379","146.3900"
"2018/11/07","148.1900","1528669.0000","144.1300","149.5000","143.1400"
"2018/11/06","140.9300","831862.0000","141.7800","143.8100","139.0000"
"2018/11/05","141.0300","1222446.0000","143.9500","145.0000","139.7600"
"2018/11/02","145.5500","1936885.0000","144.3500","148.9200","142.2600"
"2018/11/01","144.3500","1791424.0000","138.7700","145.0900","135.6700"
"2018/10/31","138.1500","2117145.0000","132.5000","138.6500","130.5300"
"2018/10/30","129.1400","3027788.0000","125.3500","132.3600","122.8000"
"2018/10/29","128.5000","2155063.0000","136.8300","137.6800","125.0800"
"2018/10/26","132.9500","2828938.0000","129.6100","138.3400","128.4500"
"2018/10/25","136.9900","4479227.0000","131.3600","138.3400","128.5000"
"2018/10/24","122.2700","2308417.0000","133.1150","134.6000","122.0500"
"2018/10/23","132.1600","2366305.0000","128.3400","133.2000","126.7100"
"2018/10/22","134.3700","2355981.0000","128.3900","135.5900","125.6430"
"2018/10/19","127.0700","2229260.0000","135.6800","137.3813","126.2000"
"2018/10/18","134.7800","1595260.0000","136.7800","140.1400","133.5600"
"2018/10/17","137.3700","3146182.0000","146.0000","146.5000","133.8700"
"2018/10/16","145.8300","1390344.0000","138.6800","146.0700","138.4100"
"2018/10/15","135.7000","1113978.0000","134.9900","137.0000","132.0900"
"2018/10/12","135.2000","2033689.0000","135.1600","136.9700","130.2500"
"2018/10/11","128.3900","2074330.0000","126.6900","133.9800","126.6800"
"2018/10/10","130.1000","2681683.0000","139.6400","139.9513","128.0100"
"2018/10/09","140.2200","1055734.0000","140.4000","143.1800","138.7550"
"2018/10/08","140.4900","1241812.0000","143.2200","145.5317","138.0900"
"2018/10/05","140.4900","1691158.0000","143.2200","145.5317","138.0900"
"2018/10/04","148.9100","1927548.0000","159.4800","160.1990","147.8000"
"2018/10/03","160.2000","909557.0000","157.5100","162.3600","157.1900"
"2018/10/02","156.6000","1565445.0000","162.4600","164.0000","155.9700"
"2018/10/01","163.4200","867683.0000","166.4400","166.8600","162.5100"
"2018/09/28","164.4600","789146.0000","164.1900","167.7900","163.0600"
"2018/09/27","164.4500","603767.0000","162.2600","164.7100","162.0200"
"2018/09/26","162.0000","860633.0000","162.5200","164.8000","159.8800"
"2018/09/25","161.1100","1578793.0000","163.3700","165.1400","159.0000"
"2018/09/24","162.1800","892768.0000","159.5600","165.3300","157.4000"
"2018/09/21","161.5200","2146108.0000","166.7000","168.1600","160.6100"
"2018/09/20","167.1700","1377635.0000","165.3800","168.9500","164.5000"
