"date","close","volume","open","high","low"
"2018/11/01","208.5900","224467.0000","210.6400","212.6600","208.0100"
"2018/10/31","209.6700","301183.0000","217.7200","219.6800","209.0900"
"2018/10/30","217.2600","349462.0000","209.9900","217.4100","209.9900"
"2018/10/29","209.0400","291193.0000","210.0600","212.3441","206.5300"
"2018/10/26","207.7600","281776.0000","208.8400","211.0600","205.0700"
"2018/10/25","210.6500","281595.0000","212.0500","213.6550","207.0000"
"2018/10/24","208.9300","745885.0000","199.7500","212.3100","193.3700"
"2018/10/23","192.8700","350703.0000","193.9000","195.5700","189.6800"
"2018/10/22","196.3400","187450.0000","197.8600","199.6200","196.2300"
"2018/10/19","197.4300","193623.0000","194.4900","197.7400","194.4900"
"2018/10/18","194.7200","160521.0000","196.1700","198.5150","193.6600"
"2018/10/17","196.0700","155159.0000","193.0200","197.4900","191.8300"
"2018/10/16","193.6000","236373.0000","190.1200","193.9000","189.6550"
"2018/10/15","189.7300","133394.0000","186.9800","191.7500","186.0500"
"2018/10/12","187.5000","189085.0000","187.8500","188.3000","184.6900"
"2018/10/11","185.2000","290465.0000","185.9600","188.9400","182.9904"
"2018/10/10","186.8100","221940.0000","188.5200","189.2200","185.3100"
"2018/10/09","188.6900","147340.0000","185.9000","189.9200","185.2115"
"2018/10/08","186.0600","234969.0000","188.7600","189.1379","184.9100"
"2018/10/05","189.5400","185875.0000","192.1500","193.0450","188.9100"
"2018/10/04","191.5300","488688.0000","184.1200","191.7400","182.8799"
"2018/10/03","183.1400","332649.0000","178.0900","183.9250","177.1400"
"2018/10/02","178.1000","403676.0000","174.3100","179.6900","172.0900"
"2018/10/01","173.8900","330680.0000","177.7900","177.9400","173.0000"
"2018/09/28","178.4900","255730.0000","177.6700","179.8700","177.1500"
"2018/09/27","178.1700","205931.0000","179.1900","180.8150","177.2200"
"2018/09/26","179.1900","201186.0000","182.0000","182.9750","179.0900"
"2018/09/25","181.6200","218776.0000","183.7900","185.1800","180.5400"
"2018/09/24","184.1800","202295.0000","181.2500","184.7300","180.5800"
"2018/09/21","181.8600","283795.0000","183.5900","184.4900","180.6100"
"2018/09/20","183.2400","133821.0000","182.9500","184.2200","180.7700"
"2018/09/19","182.6200","114820.0000","182.1600","184.0800","181.9900"
"2018/09/18","181.6400","117868.0000","178.2200","182.0300","177.7600"
"2018/09/17","179.7900","188160.0000","183.5100","184.7500","179.3600"
"2018/09/14","183.4500","152426.0000","183.7000","186.0400","183.2100"
"2018/09/13","183.3000","91767.0000","184.0900","185.4300","181.8300"
"2018/09/12","184.0900","157830.0000","182.6850","184.4400","180.0300"
"2018/09/11","184.3700","138697.0000","182.4800","185.0100","181.4800"
"2018/09/10","182.9900","140688.0000","187.3700","187.3700","182.3900"
"2018/09/07","186.9600","238450.0000","183.3300","187.5300","182.0300"
"2018/09/06","184.1700","414314.0000","190.4800","190.4800","182.7100"
"2018/09/05","191.1900","193230.0000","194.3500","195.5300","190.1100"
"2018/09/04","194.3800","179049.0000","189.7100","194.4600","188.9600"
